place_id,name,keyword,latitude,longitude
ChIJYQADbnANREARvOeA188_Z_8,Mtatsminda Fried Chicken,fast food,41.6943407,44.7840259
ChIJu7OHWPpzREARfCGkPZhDZnc,McDonald's,fast food,41.7092553,44.76728929999999
ChIJjd4uT80MREARAq15ah3MImY,KFC,fast food,41.7089466,44.7715849
ChIJ0f2CJJQNREARU9MzMRUMd2k,mac and cheese,fast food,41.7079697,44.7744602
ChIJ-bOyd28NREAR2W_EJTMqgFc,Bruno Burger,fast food,41.7054781,44.7809294
ChIJIaxu1IINREARlGy258H18mA,Nero Burger Bar,fast food,41.7073389,44.7691014
ChIJz0ba_WhzREARfBHo0Fdi59g,მალე,fast food,41.7093855,44.76673710000001
ChIJzUBEEeYNREARQ0GPk0RFFgw,Munchies by foodgoddess,fast food,41.7081417,44.7779833
ChIJnb4fjDNzREARe8c6Xs9_H9k,Ronny's Pizza,fast food,41.7093046,44.7746281
ChIJ-XkVNjNzREAR_PX49GKcK8o,ვაკანსიები,fast food,41.7078188,44.7686999
ChIJYZGCC6ANREAR9Bt1VonVz-k,Ghomidakveli ღომიდაყველი,fast food,41.7100635,44.769467
ChIJWQEp6jJzREARGP3y95HGKfk,Subway,fast food,41.7095778,44.7699777
ChIJB9zONtINREARnjNfJ92N1MI,Dellato,fast food,41.7015604,44.7888637
ChIJwZg15uhtREARZ_qMcvFOslo,Poté Fries,fast food,41.705254,44.8007886
ChIJ6wOyfj4NREARWXXgU2afIxM,33 Tantuni & Doner,fast food,41.7077795,44.7987964
ChIJI9ICc6cNREARlWelxoXu8iY,Wendy's,fast food,41.6934106,44.8028791
ChIJ1VANL1cNREAR4LHa-G9OT-k,UFO BURGER,fast food,41.7034112,44.8032032
ChIJ6TyaJgANREARaQFmYvZSxVI,Berlin shaurma,fast food,41.7037991,44.8056632
ChIJ0YV41p8NREAR37sT_Rsltrk,Just Burgers,fast food,41.7063673,44.7883472
ChIJB1pMZNwNREARJhhGyTb2F0k,Town,fast food,41.6965163,44.8027975
ChIJicqzGfINREARbme0z5wUjAA,Wendy's,fast food,41.70465249999999,44.7939922
ChIJG-FztkMNREARJl4yPdxU4mk,GRILL 28,fast food,41.6964437,44.80571519999999
ChIJ2YPLmcYNREARYtdRcdPq53s,FryDay Dedaena,fast food,41.7010745,44.8043015
ChIJ84WtXwANREARwJGp9jIj1-M,subway,fast food,41.7089727,44.79732569999999
ChIJOzu-gsUNREARuoXokYiVMjw,Craft Food Restaurant • კრაფტ ფუდ რესტორანი,fast food,41.6974789,44.8040422
ChIJ8U3XSGoNREAR4CvU2G1tfLU,FOMO MOMO | ფომო მომო,fast food,41.6957235,44.8030902
ChIJgw_YEO8MREARAU6L5Ubhimo,Burger King,fast food,41.6944803,44.7999637
ChIJpWe2EO8MREARkuMCtK7EwMc,McDonald's,fast food,41.6944764,44.7999382
ChIJiyLNDdsMREARUqlqII9dUu4,McDonald's,fast food,41.7035111,44.7899734
ChIJw4Hx-hsNREARaBF3WhXy8ec,Wendy's,fast food,41.6945653,44.8003382
ChIJV4IcEe8MREARIs49LLt4TBw,KFC,fast food,41.6945633,44.8003394
ChIJZ4Nt2voNREARwsdkvNUFLsU,Tasty,fast food,41.7062494,44.7880936
ChIJAzf0wNkMREARsR8sYEF86_E,Greek Point,fast food,41.7010575,44.804433
ChIJZ7Bi7CcNREARUvZNjjlGNlo,McDonald's,fast food,41.7096103,44.7968092
ChIJK7GzR2sNREARrPMP3KfzgfU,PANINO GIUSTO,fast food,41.7033736,44.7897961
ChIJcwngRrUNREARdVy2Glwor0w,Burger Queen Restaurant,fast food,41.7053658,44.800681
ChIJJQf7l3gNREARAu3ruBn0Vyw,Harvey burger Georgia,fast food,41.7033056,44.803974
ChIJZzZirRANREAR6KAk9c9LhgM,Tumtum,fast food,41.7089011,44.7974888
ChIJj3VPomwNREARsO--NGhH28o,SHAURMA TIME,fast food,41.6947436,44.7999314
ChIJiarhjU8NREARKRILgRxCuT8,Burger House,fast food,41.699734,44.797273
ChIJeei5BwANREARfkJv0CefeR0,Cotsho,fast food,41.7079618,44.8050928
ChIJJwdnGQANREAR1jU5dBQZwa4,FryDay • ფრაიდეი,fast food,41.6944038,44.7998975
ChIJFYVB8QYNREAREFYw1LrgQR0,Bakery Mandarini • საცხობი მანდარინი,fast food,41.7052701,44.7887116
ChIJxzCWJgANREARwPi_KfwWeW0,Marjos marjanishwali,fast food,41.71072969999999,44.800037
ChIJoatXFm1zREARDtHJBhSENFU,Café Rko,fast food,41.6973163,44.8041427
ChIJ6ZUKAgANREARvhQb_8LSuPA,Halal Kebab Doner,fast food,41.705409,44.7886078
ChIJ47CrzjANREARNv-iAEI31hI,Makola,fast food,41.7068832,44.7924434
ChIJK5sJf-8MREARxAs2PJPjGzU,Subway,fast food,41.6949275,44.8025946
ChIJy5Bn6RINREAR8UdRIG2KMTE,imedi avi,fast food,41.7038235,44.8057457
ChIJ65RHCrMNREARDPsbiX5KOQQ,Nostimo,fast food,41.6988885,44.7973688
ChIJi8v9itUNREAR0JNXMx_YIy0,Barnafel ბარნაფელი,fast food,41.7058996,44.7951564
ChIJW9zW4V8NREARk5o3KjUwZdM,Family Kitchen Tar Tun,fast food,41.6941318,44.7971267
ChIJcYVTpO8MREAR_H3e5E6dwm4,El Gusto,fast food,41.6938026,44.80151679999999
ChIJB3Cfye8MREARZJRg6Zngf-k,Dunkin',fast food,41.69396039999999,44.8053751
ChIJMWMnNLoNREARuKEJCn3gXj4,Crepe Crepe,fast food,41.6974789,44.8040422
ChIJSwsNBAANREARoabVSqTaEgc,Realfood,fast food,41.69706480000001,44.8045163
ChIJTfO4wyYNREARUGFA16DQIkA,Ukve•უკვე,fast food,41.7091386,44.7979706
ChIJnaP2QXYNREARlQrLgJIfMA0,ვაჟას 3,fast food,41.6938026,44.80151679999999
ChIJp0cogGcNREARsYV2PHKZmyg,Cafe Adrenaline Drive კაფე ადრენალინი,fast food,41.7064082,44.792869
ChIJAcDbSgANREARuZf9BCmX3EY,თბილისი მოლი,fast food,41.6938026,44.80151679999999
ChIJIYGRFwANREARWB1l4Y8JTRk,პუდი•poody,fast food,41.6998622,44.8049541
ChIJBw3iDPwMREARka7BWJOK3Ek,Tiflis Fast Food,fast food,41.6938113,44.8153391
ChIJJQuPzD8NREARngak8Ackgn8,გემრიელი შესვენება,fast food,41.6978751,44.8522547
ChIJuzKvpfZzREARkJpEWvgNF4c,Boo,fast food,41.7061998,44.8517641
ChIJYylOVQANREARQFxLRHtPWeg,Craft Shawarma • კრაფტ შაურმა,fast food,41.6947251,44.869907
ChIJKZucQygNREARv7x5PBv8a7Y,Craft Food Restaurant • კრაფტ ფუდ რესტორანი,fast food,41.7018441,44.8778157
ChIJeWWsVrsNREARdm2morzWIYQ,ფიცხელას ხინკალი,fast food,41.7004677,44.8719579
ChIJrT-jAwQNREAR2a9DOFWZxKQ,taste lab/ თეისთ ლაბი,fast food,41.7078443,44.8717112
ChIJZSEvcowNREARuR3Zadvo2yU,PM Shaurma PM შაურმა,fast food,41.70539489999999,44.8820483
ChIJ3bQ8PpQNREARbpWZGXnkSXI,Good Bakery,fast food,41.6978309,44.8702332
ChIJeaQVc3gNREARZ1gjPVpzrnw,CRAZY BURGER’s,fast food,41.7065086,44.8836013
ChIJ201ysqBzREARcQAZQJ9n3Zw,შოკ შაურმა shock shaurma,fast food,41.6934871,44.8613113
ChIJRWDBtjENREARx95f7NA6Gpk,Saba's outdoor Grill,fast food,41.7022058,44.8785414
ChIJh6ORegANREARkVceBPlBRO0,საშაურმე კახელები,fast food,41.6983362,44.869634
ChIJ-2kKV3QNREARozNho7Dlz8A,რესტორანი ხვანჭკარა,fast food,41.7087438,44.8744352
ChIJxzmC-YYNREARkvCGNhLKQtE,შპს გირე 44,fast food,41.6984132,44.8864396
ChIJZabnAwBzREAR6L9HQC9_A_0,Bento,fast food,41.7212711,44.70649179999999
ChIJHTU-hedzREARHQHynVtv0Ms,ggbakery,fast food,41.7212277,44.7141892
ChIJaWs6-rJzREARMNTziVTe04o,Foodman,fast food,41.723052,44.7259923
ChIJ1SkNOgBzREAR6pGQzW95nc0,სილიბისტრო • Silibistro,fast food,41.7198023,44.7162322
ChIJuXBH7exzREARTC-8hyKClPA,McDonald's Vazha-Pshavela Avenue,fast food,41.7244193,44.7303224
ChIJq6oGYQ5zREARjf3cw8WKAlo,Mugsy's Burger,fast food,41.7245629,44.7338701
ChIJtWmFyBFzREARoRpG4LzBNYk,KFC,fast food,41.7243933,44.7371528
ChIJda9ImI9zREAR6j9kJkOO_eI,Shawarma Inn,fast food,41.7261396,44.7255417
ChIJey62zV5zREARft0UG0ZgYwI,Wendy's,fast food,41.7239827,44.7372635
ChIJefpG4Q9zREARRIhHfjNv3iY,Weimar,fast food,41.7265722,44.7277993
ChIJVQJWf-hzREAR_0rhM9e2V1E,McDonald's,fast food,41.72315529999999,44.7373272
ChIJs4zQSjpzREARuKfpSjBVZlA,Sandwich Market,fast food,41.728121,44.7330609
ChIJUZApTGQBREARSZcL3GSs0oI,ლაფშიკო / Lafshiko - Asian Fast Food,fast food,41.7284348,44.7339979
ChIJNxayxh5zREAR6RPFTnT48EE,Burger Lions,fast food,41.7235716,44.7307214
ChIJeyyJSuJzREAR1OCU5XyYEb0,Burger King,fast food,41.72328,44.7380669
ChIJ07NzdshzREAR_TJFVD6BE6E,PHO Asian food • პო აზიური სამზარეულო,fast food,41.7209872,44.7255037
ChIJywY50gtzREAR9TJSJBgnFTs,Slow Food,fast food,41.7264691,44.7267832
ChIJA26uOwBzREARHHmmGoc5aW8,Wrap Master,fast food,41.7256332,44.7205272
ChIJ9-GgVjxzREARAYljYcCHr-Q,Food & Market,fast food,41.7245387,44.73883650000001
ChIJf74nRDdzREARyndhFyA5B3Q,Wendy's,fast food,41.7114396,44.75730189999999
